Team,Medal
Romania,Gold
Romania,Gold
Romania,Silver
Romania,Silver
Romania,Bronze
Romania,Gold
Romania,Bronze
Canada,Bronze
Canada,Gold
Argentina,Silver
Canada,Silver
Czechoslovakia,Bronze
Evita VI,Gold
Hungary,Bronze
Greece,Silver
United States,Silver
United States,Gold
United States,Gold
Australia,Bronze
Canada,Gold
Bahamas,Silver
Great Britain,Bronze
Great Britain,Silver
New Zealand,Gold
New Zealand,Gold
New Zealand,Gold
New Zealand,Gold
New Zealand,Silver
New Zealand,Silver
Australia,Gold
United States,Bronze
Bahamas,Silver
New Zealand,Silver
Bahamas,Silver
Bahamas,Gold
Bahamas,Bronze
Hungary,Bronze
Hungary,Bronze
Croatia,Gold
Switzerland,Silver
Australia,Silver
France,Silver
Italy,Silver
Italy,Silver
Sweden,Gold
Sweden,Bronze
Brazil,Bronze
Brazil,Silver
Canada,Bronze
Angola,Bronze
Angola,Silver
Kenya,Bronze
Kenya,Silver
Kenya,Silver
Angola,Bronze
Brazil,Bronze
Brazil,Gold
Portugal,Silver
India,Gold
Kenya,Bronze
Portugal,Silver
Portugal,Bronze
India,Gold
Kenya,Bronze
Portugal,Bronze
Portugal,Silver
Spain,Gold
Peru,Gold
Spain,Gold
Spain,Bronze
Spain,Silver
Cuba,Gold
Cuba,Gold
Cuba,Bronze
Spain,Silver
Spain,Bronze
West Germany,Bronze
Spain,Bronze
Spain,Bronze
Malaysia,Silver
Venezuela,Gold
Mexico,Gold
Spain,Silver
Argentina,Gold
Cuba,Silver
United States,Gold
United States,Gold
Colombia,Silver
Spain,Bronze
Spain,Gold
Spain,Bronze
Australia,Bronze
Australia,Silver
France,Gold
France,Gold
Spain,Bronze
Spain,Silver
Argentina,Bronze
Venezuela,Bronze
Spain,Silver
United States,Gold
United States,Gold
United States,Gold
Uruguay,Gold
Argentina,Gold
Spain,Bronze
Spain,Gold
Spain,Silver
Spain,Silver
United States,Bronze
United States,Gold
United States,Gold
Cuba,Silver
Cuba,Bronze
Cuba,Bronze
Spain,Silver
Spain,Gold
Cuba,Gold
Cuba,Silver
Spain,Silver
Mexico,Bronze
Spain,Silver
Spain,Silver
Spain,Bronze
Spain,Gold
Spain,Silver
Spain,Bronze
Spain,Bronze
Spain,Gold
Spain,Bronze
Spain,Silver
France,Silver
Brazil,Gold
India,Gold
Sri Lanka,Gold
Sri Lanka,Gold
Brazil,Bronze
Germany,Silver
Elisabeth X,Silver
Elisabeth X,Silver
France,Bronze
Sweden,Silver
South Africa,Gold
Great Britain,Bronze
Belgium,Bronze
Pakistan,Bronze
El Salvador,Bronze
Italy,Gold
Italy,Gold
France,Silver
France,Gold
France,Bronze
Italy,Gold
United States,Silver
Argentina,Gold
Argentina,Gold
Argentina,Silver
Italy,Gold
Italy,Bronze
Italy,Silver
Ciocca,Gold
Argentina,Silver
Argentina,Gold
Italy,Bronze
Italy,Bronze
Canada,Gold
France,Bronze
France,Gold
France,Gold
Argentina,Silver
Italy,Bronze
Italy,Gold
Italy,Silver
Italy,Bronze
Italy,Bronze
Italy,Silver
Italy,Gold
Italy,Bronze
France,Bronze
Italy,Gold
Italy,Bronze
Portugal,Gold
Portugal,Silver
Portugal,Silver
United States,Gold
Argentina,Silver
Brazil,Gold
Brazil,Bronze
Brazil,Gold
Brazil,Bronze
South Africa,Silver
United States,Silver
United States,Gold
Spain,Gold
Spain,Bronze
Cuba,Silver
Puerto Rico,Silver
Spain,Bronze
Spain,Silver
Venezuela,Bronze
Peru,Bronze
Peru,Silver
Italy,Gold
United States,Bronze
United States,Bronze
Great Britain,Bronze
Australia,Silver
Australia,Silver
Great Britain,Silver
Great Britain,Gold
Great Britain,Silver
Italy,Bronze
Spain,Silver
Italy,Bronze
Italy,Bronze
Sweden,Silver
Sweden,Silver
Sweden,Gold
United States,Gold
Denmark,Gold
Germany,Bronze
Austria,Silver
France,Bronze
Soviet Union,Gold
Soviet Union,Gold
Russia,Gold
Soviet Union,Gold
Soviet Union,Silver
Ukraine,Gold
Ukraine,Gold
Russia,Bronze
Austria,Gold
Germany,Bronze
Germany,Bronze
France,Silver
Poland,Bronze
Soviet Union,Silver
Soviet Union,Gold
Soviet Union,Gold
Denmark,Silver
Austria,Bronze
Austria,Gold
Austria,Bronze
Austria,Bronze
East Germany,Silver
Germany,Silver
United States,Bronze
Switzerland,Bronze
Switzerland,Bronze
Switzerland,Silver
Switzerland,Bronze
Switzerland,Silver
Switzerland,Bronze
Switzerland,Gold
Switzerland,Bronze
Switzerland,Silver
Belgium,Silver
Germany,Gold
Belgium,Bronze
Libya,Gold
Great Britain,Gold
Great Britain,Gold
Great Britain,Silver
Australia,Bronze
Germany,Gold
Italy,Gold
Italy,Silver
Romania,Bronze
Great Britain,Bronze
Great Britain,Bronze
Great Britain,Bronze
Czechoslovakia,Bronze
Germany,Bronze
Italy,Silver
West Germany,Gold
West Germany,Gold
Germany,Silver
Germany,Bronze
Germany,Gold
France,Silver
Sweden-1,Silver
Sweden-3,Bronze
Brazil,Bronze
Hungary,Bronze
Romania,Silver
Romania,Gold
Canada,Bronze
United States,Bronze
Hungary,Silver
Norway,Bronze
Poland,Gold
United States,Gold
East Germany,Bronze
East Germany,Silver
Germany,Gold
Germany,Gold
Germany,Bronze
Germany,Bronze
Germany,Gold
Germany,Gold
Germany,Bronze
East Germany,Bronze
East Germany-2,Bronze
Poland,Gold
Poland,Bronze
Luxembourg,Gold
France,Silver
France,Silver
Australia,Silver
United States,Gold
United States,Gold
United States,Gold
Belgium,Bronze
Belgium,Gold
Belgium,Silver
Belgium,Gold
Belgium,Gold
Mexico,Silver
United States,Gold
Switzerland,Gold
Switzerland,Silver
Italy,Silver
Italy,Bronze
Canada,Silver
Italy,Bronze
Italy,Gold
Italy,Gold
Italy,Gold
Italy,Bronze
Italy,Bronze
Brazil,Silver
Brazil,Silver
Brazil,Silver
Brazil,Silver
Cuba,Bronze
Paraguay,Silver
Chile,Bronze
Chile,Silver
United States,Silver
Cuba,Bronze
Colombia,Silver
Colombia,Gold
Uruguay,Gold
Cuba,Silver
Cuba,Silver
France,Bronze
Poland,Gold
Poland-1,Silver
Czechoslovakia,Bronze
Turkey,Bronze
Czechoslovakia,Gold
Algeria,Silver
Australia,Silver
Greece,Bronze
Russia,Silver
Soviet Union,Gold
Soviet Union,Bronze
Soviet Union,Bronze
Soviet Union,Gold
Soviet Union,Gold
Soviet Union,Silver
Soviet Union,Gold
Soviet Union,Gold
Soviet Union,Bronze
Soviet Union,Bronze
Germany,Bronze
Germany,Silver
Germany,Silver
Germany,Bronze
Canada,Bronze
Russia,Gold
Kazakhstan,Silver
Belarus,Gold
Soviet Union,Gold
Canada,Bronze
Canada,Bronze
Poland,Bronze
Angola,Silver
Angola,Gold
Russia,Silver
Bulgaria,Bronze
Bulgaria,Silver
Bulgaria,Silver
Bulgaria,Gold
Bulgaria,Silver
Serbia,Bronze
Serbia,Bronze
Serbia,Gold
Macedonia,Bronze
Italy,Silver
Switzerland-1,Bronze
France,Gold
Russia,Gold
Soviet Union,Bronze
Sweden,Gold
Sweden,Bronze
Italy,Bronze
Algeria,Gold
United States,Silver
France,Bronze
France,Bronze
Brazil,Bronze
Slovakia,Bronze
Finland,Bronze
Austria,Gold
Latvia,Silver
France,Silver
Hungary,Silver
Indonesia-1,Silver
Australia,Gold
United States,Gold
United States,Silver
Great Britain,Bronze
Great Britain,Gold
United States,Gold
United States,Bronze
United States,Gold
United States,Bronze
Italy,Silver
Belgium,Bronze
Belgium,Gold
Germany,Silver
Australia,Silver
East Germany,Gold
West Germany,Silver
Great Britain,Bronze
Great Britain,Silver
New Zealand,Silver
Australia,Bronze
Canada,Silver
United States,Silver
United States,Bronze
United States,Gold
Iceland,Gold
Great Britain,Gold
United States,Gold
United States,Silver
United States,Silver
Great Britain,Bronze
Great Britain,Gold
Italy,Silver
Venezuela,Bronze
Peru,Gold
Netherlands,Gold
Italy,Gold
Italy,Gold
Italy,Gold
Italy,Gold
Italy,Silver
Italy,Bronze
Brazil,Silver
Argentina,Silver
Italy,Gold
Romania,Silver
Ylliam II,Silver
Ylliam II,Silver
France,Bronze
Iran,Bronze
Russia,Silver
Russia,Silver
Russia,Silver
Soviet Union,Gold
Soviet Union,Gold
Soviet Union,Gold
Canada,Gold
Canada,Bronze
Canada,Gold
Austria,Gold
United States,Gold
West Germany,Silver
West Germany,Silver
Germany,Gold
Germany,Gold
West Germany,Bronze
West Germany,Silver
Germany,Gold
Switzerland,Silver
Switzerland,Bronze
Switzerland,Silver
Switzerland,Silver
Switzerland,Bronze
Germany,Bronze
Switzerland,Silver
United States,Gold
Switzerland,Gold
Brazil,Silver
Brazil,Silver
Sweden,Silver
Switzerland,Silver
Germany,Silver
Austria,Silver
Austria,Bronze
Germany,Gold
Germany,Bronze
Germany,Gold
Germany,Gold
Germany,Silver
Germany,Silver
Germany,Gold
Germany,Bronze
Germany,Gold
West Germany,Silver
West Germany,Bronze
West Germany,Gold
West Germany,Silver
East Germany,Gold
East Germany,Silver
East Germany,Gold
East Germany,Gold
Germany,Gold
Germany,Silver
Germany,Silver
Germany,Gold
Germany,Gold
Germany,Gold
Germany,Silver
Germany,Gold
Switzerland,Silver
Italy,Silver
Italy,Silver
Canada,Bronze
United States,Gold
United States,Silver
United States,Silver
United States,Silver
Australia,Gold
United States,Gold
United States,Gold
United States,Gold
United States,Gold
United States,Gold
Canada,Gold
Great Britain,Silver
Canada,Bronze
Canada,Gold
United States,Silver
Canada,Gold
Canada,Bronze
Australia,Silver
Great Britain,Bronze
Great Britain,Gold
Finland,Bronze
United States-2,Gold
United States-1,Gold
"New College, Oxford-2",Silver
France,Bronze
France,Silver
France,Gold
United States,Silver
United States,Silver
United States,Silver
United States,Bronze
Germany,Bronze
Switzerland,Gold
Switzerland,Bronze
Switzerland,Bronze
Spain,Silver
Spain,Silver
United States,Silver
Australia,Bronze
New Zealand,Bronze
Ireland,Gold
United States,Silver
United States,Silver
United States,Gold
United States,Gold
Canada,Gold
New Zealand,Silver
United States,Gold
Belgium,Bronze
Italy,Gold
Italy,Silver
Cuba,Bronze
United States,Gold
Indonesia-1,Bronze
United States,Gold
United States,Gold
Italy,Gold
Japan,Silver
Japan,Bronze
Belarus,Silver
Uruguay,Gold
Uruguay,Gold
Brazil,Gold
Russia,Bronze
Soviet Union,Silver
Germany-1,Gold
Germany,Gold
Italy-1,Gold
Romania,Bronze
Romania,Silver
Romania,Bronze
Romania,Silver
Canada,Silver
Great Britain,Bronze
Great Britain,Silver
Great Britain,Silver
United States,Gold
Trinidad and Tobago,Gold
United States,Silver
United States,Gold
United States,Gold
Australia,Gold
Australia,Silver
Canada,Bronze
Great Britain,Silver
Australia,Gold
Australia,Bronze
United States,Gold
United States,Gold
United States,Gold
United States,Gold
Spain,Silver
Spain,Silver
Yugoslavia,Gold
Germany,Silver
Germany,Bronze
Germany,Silver
Germany,Silver
Denmark,Silver
Elisabeth X,Silver
Soviet Union,Bronze
United States,Gold
Germany,Bronze
Canada,Gold
Canada,Silver
Germany,Bronze
France,Bronze
France,Bronze
Norway,Bronze
Sweden,Silver
Spain,Silver
Uruguay,Gold
Spain,Silver
Italy,Bronze
United States,Bronze
Cuba,Gold
France,Bronze
Argentina,Silver
Argentina,Bronze
Chile,Bronze
Soviet Union,Gold
United States,Gold
Yugoslavia,Gold
Unified Team,Silver
Russia,Silver
Russia,Silver
Kazakhstan,Gold
United States,Bronze
Russia,Bronze
South Africa,Bronze
Guyoni,Bronze
France,Gold
Spain,Silver
Turkey,Bronze
Soviet Union,Gold
Soviet Union,Gold
Soviet Union,Silver
Soviet Union,Gold
Soviet Union,Gold
Armenia,Silver
Sweden,Gold
Sweden,Silver
Sweden,Gold
Sweden,Bronze
Sweden,Bronze
Belarus,Gold
Ghana,Bronze
Soviet Union,Bronze
Soviet Union,Silver
Unified Team,Bronze
Japan,Silver
Lithuania,Gold
Japan,Silver
Georgia,Bronze
Georgia,Gold
United States,Silver
Ghana,Bronze
Kenya,Silver
Kenya,Gold
Soviet Union,Gold
Sweden,Gold
Sweden,Silver
United States,Bronze
East Germany,Gold
Austria,Bronze
Switzerland,Bronze
Finland,Silver
Iceland,Silver
Pakistan,Silver
Pakistan,Bronze
Gallant,Silver
United States,Bronze
Australia,Silver
Great Britain,Bronze
United States,Gold
Great Britain,Bronze
United States,Gold
United States,Gold
United States,Silver
United States,Gold
United States,Gold
New Zealand,Gold
Jamaica,Gold
Soviet Union,Bronze
Australia,Silver
United States,Gold
United States,Bronze
Finland,Bronze
Greece,Silver
Italy,Bronze
Finland,Silver
Pakistan,Gold
India,Gold
Azerbaijan,Bronze
Sweden,Bronze
Sweden,Silver
France,Gold
Soviet Union,Gold
Denmark,Gold
Sweden-2,Silver
Sweden,Gold
Sweden,Bronze
Italy,Gold
Unified Team,Silver
Ethiopia,Bronze
Sweden,Silver
Romania,Silver
Soviet Union,Gold
Soviet Union,Bronze
Soviet Union,Bronze
Soviet Union,Gold
Soviet Union,Silver
Soviet Union,Gold
Soviet Union,Bronze
Soviet Union,Gold
Soviet Union,Silver
Soviet Union,Gold
Unified Team,Silver
Belarus,Bronze
Soviet Union,Bronze
Great Britain,Bronze
Swedish Star,Bronze
Canada,Silver
Great Britain,Bronze
Denmark,Gold
Azerbaijan,Bronze
Poland,Bronze
Turkey,Gold
Turkey,Bronze
Yugoslavia,Silver
Soviet Union,Gold
Uzbekistan,Bronze
Czechoslovakia,Bronze
Pakistan,Silver
Pakistan,Gold
Pakistan,Silver
Turkey,Gold
Syria,Silver
Great Britain,Gold
Great Britain,Bronze
United States-1,Silver
South Africa,Silver
South Africa,Gold
Iceland,Silver
Turkey,Gold
Canada,Silver
Italy,Gold
Italy,Bronze
Great Britain,Gold
Great Britain,Bronze
United States,Bronze
United States,Silver
United States,Gold
Italy,Gold
Canada,Silver
Canada,Silver
Canada,Silver
Canada,Bronze
Nigeria,Bronze
West Germany,Gold
United States,Silver
East Germany,Bronze
East Germany,Gold
East Germany,Silver
Germany,Silver
Switzerland,Gold
Germany,Bronze
Germany,Gold
Germany,Silver
France,Gold
France,Bronze
Norway,Bronze
Norway,Gold
Norway,Bronze
United States,Bronze
Czechoslovakia,Silver
Czechoslovakia,Bronze
Haiti,Bronze
United States,Gold
United States,Gold
United States,Gold
West Germany,Bronze
Russia,Silver
Norway,Gold
Canada,Bronze
France,Gold
France,Gold
Soviet Union,Silver
Norway,Bronze
Norway,Silver
Norway,Bronze
Norway,Silver
Norway,Gold
Italy,Silver
Italy-1,Bronze
Kerstin-1,Bronze
United States,Bronze
United States,Gold
United States,Gold
United States,Bronze
Norway,Silver
Belgium,Silver
Soviet Union,Gold
Argentina,Gold
Russia-1,Silver
Soviet Union,Bronze
Soviet Union,Gold
Soviet Union,Bronze
Soviet Union,Gold
Australia,Silver
Soviet Union,Gold
Soviet Union,Bronze
Mexico,Bronze
Turkey,Bronze
Italy,Gold
Soviet Union,Bronze
France,Bronze
Japan,Silver
Malaysia,Bronze
Nigeria,Gold
United States,Bronze
Denmark,Bronze
Sweden,Gold
Finland,Bronze
Finland,Bronze
United States,Gold
France,Gold
Argentina,Silver
Argentina,Gold
Ethiopia,Bronze
Ethiopia,Gold
France,Gold
France,Gold
Belarus,Bronze
Ghana,Bronze
France,Silver
Turkey,Silver
Turkey,Gold
Turkey,Bronze
Argentina,Silver
Argentina,Bronze
Argentina,Bronze
Argentina,Silver
Russia,Bronze
United States,Gold
United States,Gold
Jamaica,Silver
Great Britain,Gold
Great Britain,Gold
Turkey,Gold
Pakistan,Silver
Argentina,Silver
Belarus,Bronze
Belarus,Gold
Russia,Gold
Russia,Gold
Soviet Union,Gold
Soviet Union,Gold
Soviet Union,Silver
Soviet Union,Gold
Soviet Union,Gold
Cuba,Gold
Cuba,Gold
Cuba,Silver
United States,Silver
Iraq,Bronze
Pakistan,Silver
Pakistan,Gold
Soviet Union,Bronze
Russia,Bronze
Russia,Gold
Russia,Gold
Spain,Silver
France,Gold
Nigeria,Bronze
United States,Gold
China,Bronze
France,Bronze
Germany,Bronze
Germany,Silver
Netherlands,Silver
Netherlands,Bronze
Netherlands,Bronze
Netherlands,Silver
Netherlands,Gold
Czech Republic,Bronze
Ukraine,Bronze
Nigeria,Gold
Soviet Union,Bronze
Soviet Union,Bronze
United States,Silver
United States,Gold
United States,Silver
United States,Silver
United States,Gold
United States,Gold
United States,Silver
United States,Silver
United States,Silver
United States,Gold
United States,Silver
Nigeria,Gold
United States,Gold
United States,Gold
United States,Gold
United States,Gold
Soviet Union,Gold
Romania,Gold
Romania,Bronze
Soviet Union,Gold
United States,Silver
East Germany-1,Gold
Belarus,Bronze
Slovakia,Bronze
Germany,Silver
Germany,Silver
USFSA,Silver
Spain,Silver
United States,Silver
West Germany,Gold
Switzerland,Silver
East Germany,Gold
Austria,Silver
Switzerland-2,Silver
Switzerland-1,Silver
Switzerland,Silver
Switzerland,Bronze
Switzerland,Silver
Germany,Bronze
Germany,Gold
Germany,Bronze
Soviet Union,Bronze
Romania,Silver
Sweden,Gold
Sweden,Silver
United States,Silver
United States,Bronze
Great Britain,Bronze
Great Britain,Silver
Great Britain,Silver
Sweden,Bronze
Sweden,Gold
Sweden,Bronze
Sweden,Bronze
Sweden,Silver
Sweden,Bronze
Sweden,Bronze
Sweden,Silver
Finland,Bronze
United States,Gold
Great Britain,Gold
Italy,Gold
Switzerland,Silver
Hungary,Bronze
Hungary,Gold
Nigeria,Gold
Brazil,Silver
Great Britain,Silver
Great Britain,Gold
United States,Bronze
Romania,Gold
Poland,Bronze
France,Silver
West Germany-1,Silver
West Germany-1,Silver
United States-1,Silver
France,Silver
Hungary,Bronze
East Germany,Silver
Soviet Union,Gold
Russia,Bronze
South Korea,Bronze
South Korea,Silver
South Korea,Bronze
South Korea,Bronze
Canada,Silver
Belgium,Silver
Uzbekistan,Silver
Soviet Union,Silver
Soviet Union,Bronze
Australia,Silver
Australia,Silver
Iran,Silver
Soviet Union,Silver
Ukraine,Bronze
France,Bronze
Saudi Arabia,Bronze
Algeria,Bronze
Soviet Union,Silver
East Germany,Gold
Germany,Silver
Germany,Silver
Germany,Gold
East Germany,Silver
United States,Silver
United States,Bronze
Germany,Silver
Germany,Silver
Germany-1,Gold
Germany,Silver
Soviet Union,Silver
United States,Gold
Italy,Gold
Jamaica,Gold
Canada,Silver
United States,Gold
United States,Silver
Canada,Gold
Canada,Gold
United States,Gold
Great Britain,Gold
Great Britain,Bronze
United States,Silver
Jamaica,Gold
Jamaica,Gold
Great Britain,Silver
England-1,Gold
France,Gold
France,Bronze
France,Silver
France,Bronze
Bahamas,Silver
Australia,Gold
Australia,Silver
United States,Gold
Soviet Union,Gold
Ukraine,Gold
Czechoslovakia,Silver
Hungary,Bronze
Hungary,Bronze
Yugoslavia,Silver
Poland,Silver
Germany,Bronze
Pakistan,Bronze
Pakistan,Silver
United States,Bronze
Yugoslavia,Silver
United States,Gold
United States,Silver
United States,Gold
United States,Gold
United States,Gold
United States,Silver
Japan,Gold
Great Britain,Silver
New Zealand,Silver
Australasia,Silver
United States,Silver
United States,Silver
United States,Bronze
United States,Gold
United States,Gold
United States-2,Gold
Netherlands,Silver
Canada,Bronze
Hungary,Silver
Hungary,Bronze
Greece,Silver
Hungary,Bronze
Hungary,Bronze
Hungary,Bronze
Bulgaria,Bronze
Soviet Union,Silver
France,Bronze
Ukraine,Bronze
Cuba,Gold
Russia,Bronze
Turkey,Silver
Romania,Bronze
Romania,Silver
Kazakhstan,Gold
Romania,Gold
Romania,Gold
Soviet Union,Silver
Soviet Union,Bronze
Russia,Silver
Russia,Bronze
Italy,Bronze
Soviet Union,Bronze
Hungary,Silver
United States,Bronze
Soviet Union,Gold
Cuba,Silver
Cuba,Silver
Hungary,Gold
Hungary,Silver
Hungary,Gold
Hungary,Gold
Hungary,Silver
Soviet Union,Silver
Italy,Gold
Italy,Gold
Italy,Bronze
Italy,Gold
Italy,Gold
Italy,Gold
Italy,Gold
Spain,Gold
Germany,Bronze
United States,Bronze
Croatia,Gold
Croatia,Bronze
Uruguay,Bronze
Hungary,Silver
Yugoslavia,Bronze
Germany,Bronze
Germany,Gold
Germany,Gold
Netherlands,Silver
Great Britain,Bronze
United States,Gold
Canada,Silver
Canada,Bronze
Canada,Bronze
United States,Gold
Germany,Bronze
Hungary,Silver
Hungary,Silver
France,Gold
France,Gold
France,Gold
Norway,Bronze
Norway,Gold
Norway,Silver
Norway,Gold
Norway,Silver
Norway,Gold
Norway,Gold
Spain,Silver
Spain,Gold
Italy,Silver
Spain,Gold
New Zealand,Bronze
France,Bronze
Australia,Silver
France,Bronze
Hungary,Bronze
Hungary,Silver
Hungary,Silver
Australia,Gold
Italy,Bronze
Bulgaria,Silver
Soviet Union,Bronze
United States,Gold
East Germany,Gold
Hungary,Silver
East Germany,Silver
Belgium,Gold
Germany,Silver
Italy,Gold
Italy,Bronze
France,Bronze
Romania,Gold
United States,Gold
United States,Gold
Great Britain,Bronze
Italy,Bronze
Germany,Gold
Italy,Silver
Denmark,Gold
Denmark,Gold
Argentina,Gold
Hungary,Bronze
South Korea,Bronze
South Korea,Silver
South Korea,Gold
Denmark,Bronze
Denmark,Gold
Denmark,Gold
Switzerland,Bronze
Great Britain,Silver
Cuba,Silver
United States,Silver
Germany,Gold
United States,Bronze
China,Silver
United States,Silver
Germany,Silver
Germany,Gold
Romania,Bronze
Croatia,Gold
Italy,Silver
France,Gold
Italy,Silver
Italy,Bronze
Italy,Gold
Soviet Union,Silver
Russia,Bronze
Russia,Gold
Unified Team,Gold
Russia,Bronze
Hungary,Gold
Hungary,Silver
Hungary,Bronze
Hungary,Bronze
Poland,Silver
France,Bronze
Soviet Union,Silver
Brazil,Silver
Unified Team,Gold
Canada,Gold
Great Britain,Bronze
Great Britain,Gold
Australia,Bronze
France,Silver
France,Silver
Italy,Silver
Brazil,Bronze
Poland,Bronze
United States,Gold
United States,Gold
Mexico,Bronze
Poland,Silver
Argentina,Bronze
Norway,Bronze
Norway,Bronze
United States,Bronze
France,Bronze
Italy,Gold
France,Silver
France,Silver
Hungary,Silver
Spain,Gold
Paraguay,Silver
Soviet Union,Bronze
Pan,Gold
Pan,Gold
Italy,Bronze
Soviet Union,Bronze
Montenegro,Silver
Soviet Union,Silver
Soviet Union,Gold
Soviet Union,Gold
United States,Gold
Great Britain,Gold
Great Britain,Silver
Great Britain,Silver
Australia,Bronze
Australia,Bronze
United States,Gold
United States,Gold
United States,Bronze
United States,Gold
United States,Gold
Finland,Bronze
United States,Gold
Germany,Silver
France,Silver
France,Gold
Finland,Silver
Czechoslovakia,Bronze
United States,Bronze
Soviet Union,Gold
Great Britain,Bronze
United States,Gold
United States,Gold
Canada,Gold
Canada,Gold
United States,Gold
Ireland,Bronze
Ireland,Bronze
United States,Silver
United States,Gold
Canada,Silver
Australasia,Gold
United States,Bronze
Australia,Bronze
Spain,Bronze
Sweden,Gold
Sweden,Bronze
Netherlands,Silver
United States,Bronze
France,Bronze
France,Bronze
Russia,Gold
Russia,Silver
United States,Silver
France,Silver
United States,Silver
Australia,Gold
Australia,Bronze
Australia,Silver
Australia,Silver
Canada,Silver
Canada,Bronze
France,Bronze
France,Bronze
France,Gold
Spain,Silver
Paraguay,Silver
Paraguay,Silver
Portugal,Bronze
Great Britain,Silver
United States,Silver
Great Britain,Gold
Great Britain,Bronze
United States,Gold
Great Britain,Bronze
United States,Silver
United States,Gold
Chile,Bronze
United States,Bronze
Spain,Gold
Argentina,Bronze
Argentina,Silver
Cuba,Silver
United States,Silver
Guatemala,Silver
Cuba,Bronze
United States,Bronze
United States,Gold
United States,Gold
United States,Silver
Spain,Bronze
Spain,Bronze
New Zealand,Silver
Great Britain,Silver
Qatar,Bronze
Qatar,Silver
Italy,Silver
Italy,Silver
Russia,Gold
Denmark,Bronze
Denmark,Silver
Hungary,Silver
Hungary,Gold
Italy,Gold
Slovakia,Bronze
Canada,Silver
Germany,Bronze
Netherlands,Silver
Netherlands,Silver
Soviet Union,Silver
Soviet Union,Silver
Hungary,Bronze
United States,Gold
Switzerland,Bronze
West Germany,Bronze
Hungary,Bronze
Luxembourg,Gold
Cuba,Gold
Italy,Gold
Germany,Bronze
United States,Silver
Germany,Gold
Germany,Gold
Austria,Silver
Great Britain,Gold
Canada,Silver
Great Britain,Bronze
Great Britain,Silver
Netherlands,Gold
Netherlands,Silver
Netherlands,Silver
Poland,Bronze
Italy,Silver
Great Britain,Silver
United States,Bronze
United States,Gold
United States,Gold
United States,Bronze
United States,Bronze
United States,Bronze
United States,Bronze
Czechoslovakia,Bronze
Czechoslovakia,Silver
Germany,Gold
United States,Silver
Germany,Gold
Sweden,Silver
Russia,Bronze
Soviet Union,Gold
Soviet Union,Gold
Soviet Union,Bronze
Soviet Union,Silver
Russia,Bronze
Italy,Bronze
Bulgaria,Silver
Iran,Silver
France,Silver
Italy,Bronze
Turkey,Silver
Soviet Union,Silver
Unified Team,Silver
France,Bronze
Germany,Silver
Soviet Union,Gold
Pakistan,Bronze
Pakistan,Bronze
Spain,Bronze
Yugoslavia,Gold
Yugoslavia,Bronze
Italy,Gold
Italy,Silver
Soviet Union,Bronze
Belarus,Silver
Belarus,Bronze
Belarus,Silver
Italy,Bronze
Italy,Gold
United States,Gold
Argentina,Silver
West Germany,Silver
United States,Silver
United States,Gold
Canada,Silver
Hungary,Gold
France,Gold
Canada,Gold
Belgium,Gold
Poland,Gold
Poland,Gold
Bingo,Bronze
Great Britain,Bronze
Great Britain,Gold
United States,Bronze
United States,Bronze
Serbia and Montenegro,Bronze
Serbia and Montenegro,Gold
Germany,Gold
Germany,Gold
Brazil,Silver
Soviet Union,Silver
Australia,Silver
Australia,Silver
Australia,Bronze
Russia,Silver
Italy,Gold
Great Britain,Bronze
Great Britain,Silver
United States,Silver
Great Britain,Silver
Australia,Bronze
Great Britain,Silver
Great Britain,Bronze
South Africa,Bronze
Italy,Bronze
Italy,Bronze
Italy,Silver
Unified Team,Silver
Russia,Silver
Russia,Silver
Russia,Gold
Russia,Gold
Russia,Silver
Belarus,Silver
West Germany,Silver
West Germany,Gold
Germany,Silver
Germany,Bronze
Germany,Bronze
East Germany,Bronze
Germany,Bronze
France,Bronze
France,Silver
Crabe II-1,Silver
Crabe II-4,Bronze
Nina Claire-2,Bronze
Nina Claire-2,Bronze
Germany,Bronze
Germany,Gold
United States,Silver
Czech Republic,Silver
Czech Republic,Bronze
Czech Republic,Bronze
Germany,Gold
Germany,Silver
Hungary,Gold
United States,Bronze
Canada,Silver
United States,Gold
Belgium,Silver
Germany,Bronze
Germany,Gold
Germany,Silver
East Germany,Bronze
West Germany-1,Silver
France,Silver
France,Silver
France,Silver
France,Bronze
Belgium,Gold
Great Britain,Silver
Soviet Union,Bronze
East Germany,Silver
Austria,Gold
Switzerland-1,Silver
Canada,Gold
Canada,Gold
West Germany,Silver
Germany,Gold
Switzerland,Bronze
West Germany,Gold
Germany,Bronze
Germany,Gold
Switzerland,Silver
East Germany,Gold
West Germany,Gold
East Germany,Bronze
United States,Gold
United States,Silver
United States,Gold
United States,Bronze
West Germany,Silver
Germany-1,Silver
Germany-1,Silver
Austria,Silver
Germany,Silver
United States,Silver
United States,Gold
France,Bronze
Unified Team,Gold
Mexico,Gold
Belgium,Silver
United States,Bronze
France,Silver
France,Gold
France,Bronze
United States,Gold
United States,Silver
United States,Gold
United States,Silver
United States,Silver
Mouchette-2,Silver
France,Silver
United States,Silver
Norway,Silver
Tanzania,Silver
Ethiopia,Bronze
Australia,Gold
Australia,Gold
United States,Silver
Great Britain,Bronze
Turkey,Gold
Turkey,Gold
Azerbaijan,Silver
Azerbaijan,Silver
Kazakhstan,Silver
Soviet Union,Bronze
Unified Team,Bronze
Yugoslavia,Bronze
